"curator_PersonName","curator_organization","curator_email","modification_date","addit_contact_email","bibliographical_reference","project_id","dataset_id","data_class","header_row","time_series","gradient_study","experiments","meta_tbl","key_modified","merge_align","align_1","key_version","network","homog_date","L1","L1_level","L2","L2_level","L3","L3_level","IGSN","observation_date","aspect_class","parent_material","layer_top","layer_bot","frac_method","lf_low_cut","lf_high_cut","lf_mass_prop","lf_15n","lf_13c","lf_n","lf_c","hf_low_cut","hf_high_cut"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NB","site","R","landscape position","IECZM0001","10/13/2021","N","B",0,8,"SPT",0,1.85,"0.917883932","2.253506","-26.5014204","1.630902291","22.69839236",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NB","site","T","landscape position","IECZM0002","10/13/2021","N","B",0,11,"SPT",0,1.85,"2.67556824","2.7087755","-26.9347902","1.205889398","16.09520056",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NB","site","T","landscape position","IECZM0003","10/13/2021","N","B",11,20,"SPT",0,1.85,"NA","5.1491015","-25.9978569","0.700624167","11.08792592",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NL","site","M","landscape position","IECZM000A","10/13/2021","N","L",0,5,"SPT",0,1.85,"NA","0.9589925","-25.5766947","2.114610647","30.2001133",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NL","site","M","landscape position","IECZM000B","10/13/2021","N","L",5,10,"SPT",0,1.85,"17.75750016","3.428855","-26.7944028","1.186683596","17.99594746",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NL","site","M","landscape position","IECZM000C","10/13/2021","N","L",10,20,"SPT",0,1.85,"3.747344022","3.551075","-26.4149499","1.193550235","21.44397846",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NL","site","M","landscape position","IECZM000D","10/13/2021","N","L",20,30,"SPT",0,1.85,"3.973843058","3.986993","-26.0212548","1.11878114","19.20177608",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NL","site","M","landscape position","IECZM000G","10/13/2021","N","L",50,60,"SPT",0,1.85,"1.886164429","3.9676415","-25.9917531","1.040789989","19.46971489",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NL","site","M","landscape position","IECZM000L","10/13/2021","N","L",100,110,"SPT",0,1.85,"1.208201735","4.127546","-25.7862585","0.9392223","16.03596575",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NL","site","M","landscape position","IECZM000R","10/13/2021","N","L",150,160,"SPT",0,1.85,"1.644602851","NA","NA","NA","NA",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NL","site","M","landscape position","IECZM000V","9/20/2021","N","L",168,180,"SPT",0,1.85,"0.264495384","3.7985705","-25.9368189","0.953787725","16.28323886",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NL","site","T","landscape position","IECZM000W","10/13/2021","N","L",0,10,"SPT",0,1.85,"17.72977838","4.6072595","-27.3518832","1.775626434","21.98988367",1.85,"NA"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","Density_frac","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 17:11:05,"RC","location","NL","site","T","landscape position","IECZM000X","10/13/2021","N","L",10,20,"SPT",0,1.85,"10.10848373","2.817755","-26.6316348","1.104566123","25.55530733",1.85,"NA"
