IGSN,soil ID,Collection.date,Location,Site,Position,Aspect,Lithology,top_depth_cm,bottom_depth_cm,Mean depth,Frac_Method,LF_LOW_LIMIT,LF_HIGH_LIMIT,LF_prop_perc,LF_d15N_air_permil,LF_d13C_VPDB_permil,LF_N_perc,LF_C_perc,HF_LOW_LIMIT,HF_HIGH_LIMIT,HF_perc
IECZM0001,RC_NB_R,10/13/2021,RC,NB,R,N,B,0,8,-4,SPT,0,1.85,0.917883932,2.253506,-26.5014204,1.630902291,22.69839236,1.85,NA,99.08211607
IECZM0002,RC-NB-T,10/13/2021,RC,NB,T,N,B,0,11,-5.5,SPT,0,1.85,2.67556824,2.7087755,-26.9347902,1.205889398,16.09520056,1.85,NA,97.32443176
IECZM0003,RC_NB_T,10/13/2021,RC,NB,T,N,B,11,20,-15.5,SPT,0,1.85,NA,5.1491015,-25.9978569,0.700624167,11.08792592,1.85,NA,NA
IECZM000A,RC_NL_M,10/13/2021,RC,NL,M,N,L,0,5,-5,SPT,0,1.85,NA,0.9589925,-25.5766947,2.114610647,30.2001133,1.85,NA,NA
IECZM000B,RC_NL_M,10/13/2021,RC,NL,M,N,L,5,10,-7.5,SPT,0,1.85,17.75750016,3.428855,-26.7944028,1.186683596,17.99594746,1.85,NA,82.24249984
IECZM000C,RC_NL_M,10/13/2021,RC,NL,M,N,L,10,20,15,SPT,0,1.85,3.747344022,3.551075,-26.4149499,1.193550235,21.44397846,1.85,NA,96.25265598
IECZM000D,RC_NL_M,10/13/2021,RC,NL,M,N,L,20,30,-25,SPT,0,1.85,3.973843058,3.986993,-26.0212548,1.11878114,19.20177608,1.85,NA,96.02615694
IECZM000G,RC_NL_M,10/13/2021,RC,NL,M,N,L,50,60,-55,SPT,0,1.85,1.886164429,3.9676415,-25.9917531,1.040789989,19.46971489,1.85,NA,98.11383557
IECZM000L,RC_NL_M,10/13/2021,RC,NL,M,N,L,100,110,-105,SPT,0,1.85,1.208201735,4.127546,-25.7862585,0.9392223,16.03596575,1.85,NA,98.79179827
IECZM000R,RC_NL_M,10/13/2021,RC,NL,M,N,L,150,160,-155,SPT,0,1.85,1.644602851,NA,NA,NA,NA,1.85,NA,98.35539715
IECZM000V,RC-NL-M-BC,9/20/2021,RC,NL,M,N,L,168,180,-174,SPT,0,1.85,0.264495384,3.7985705,-25.9368189,0.953787725,16.28323886,1.85,NA,99.73550462
IECZM000W,RC-NL-T,10/13/2021,RC,NL,T,N,L,0,10,-5,SPT,0,1.85,17.72977838,4.6072595,-27.3518832,1.775626434,21.98988367,1.85,NA,82.27022162
IECZM000X,RC_NL_T,10/13/2021,RC,NL,T,N,L,10,20,-15,SPT,0,1.85,10.10848373,2.817755,-26.6316348,1.104566123,25.55530733,1.85,NA,89.89151627
IECZM000Y,RC-NL-T,10/13/2021,RC,NL,T,N,L,20,30,-25,SPT,0,1.85,2.057735011,4.469762,-26.0955177,1.195678008,19.11372126,1.85,NA,97.94226499
IECZM0010,RC_NL_T,10/13/2021,RC,NL,T,N,L,40,50,-45,SPT,0,1.85,0.973499189,4.828274,-26.0039607,1.18174459,18.8936425,1.85,NA,99.02650081
IECZM0011,RC-NL-T,10/13/2021,RC,NL,T,N,L,50,60,-55,SPT,0,1.85,1.00621118,5.119565,-25.9714071,1.252058663,18.76174692,1.85,NA,98.99378882
IECZM0012,RC_NL_T,10/13/2021,RC,NL,T,N,L,60,70,-65,SPT,0,1.85,0.994786679,5.005493,-26.0772063,1.284482473,18.9377292,1.85,NA,99.00521332
IECZM0016,RC_NL_T,10/13/2021,RC,NL,T,N,L,100,110,-105,SPT,0,1.85,0.563938424,4.225322,-25.8361062,1.145863938,18.39309563,1.85,NA,99.43606158
IECZM0018,RC_NL_T,10/13/2021,RC,NL,T,N,L,120,130,-125,SPT,0,1.85,0.22517451,3.593852,-26.0029434,1.084633603,20.40858579,1.85,NA,99.77482549
