"curator_PersonName","curator_organization","curator_email","modification_date","addit_contact_person","addit_contact_email","project_id","dataset_id","data_class","header_row","time_series","gradient_study","experiments","meta_tbl","key_modified","merge_align","align_1","key_version","network","homog_date","L1","L1_level","L2","L2_level","L3","L3_level","IGSN","observation_date","aspect_class","parent_material","layer_top","layer_bot","mbc_raw","soil_moisture","nh4_ex","no3_ex","n_min","n_nitrif"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","microbial_biomass_fd","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 20:29:13,"RC","location","NB","site","R","landscape position","IECZM00G3","8/30/2022","N","B",0,10,186.3395573,8.205310363,0.824931757,0.273598336,"-0.065286254","-0.03707709"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","microbial_biomass_fd","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 20:29:13,"RC","location","NB","site","R","landscape position","IECZM00G4","8/30/2022","N","B",10,20,192.8324211,13.70990237,1.1298954,0.762002217,"0.60111445","0.661947484"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","microbial_biomass_fd","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 20:29:13,"RC","location","SWB","site","R","landscape position","IECZM00FX","8/30/2022","SW","B",0,10,197.746784,5.855750487,1.152964663,1.978361764,"0.537104898","0.583110827"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","microbial_biomass_fd","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 20:29:13,"RC","location","SWB","site","R","landscape position","IECZM00FY","8/30/2022","SW","B",10,20,124.6679634,14.02235035,1.367206081,1.829615601,"0.195974306","0.286901121"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","microbial_biomass_fd","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 20:29:13,"RC","location","SWB","site","T","landscape position","IECZM00G1","8/30/2022","SW","B",0,10,90.19161596,5.157131346,1.214088185,0.348360555,"0.080111559","0.099411278"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","microbial_biomass_fd","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 20:29:13,"RC","location","SWB","site","T","landscape position","IECZM00G2","8/30/2022","SW","B",10,20,84.78547631,9.721037885,0.915566746,3.864716192,"0.50554948","0.493025657"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","microbial_biomass_fd","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 20:29:13,"RC","location","NB","site","T","landscape position","IECZM00G5","8/30/2022","N","B",0,10,152.0866485,5.949831753,0.981671178,0.638036363,"-0.119901943","-0.072906738"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","microbial_biomass_fd","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 20:29:13,"RC","location","NB","site","T","landscape position","IECZM00G6","8/30/2022","N","B",10,20,137.3466463,8.749447636,1.506593587,2.735172138,"0.735029158","0.830239727"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","microbial_biomass_fd","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 20:29:13,"RC","location","SWB","site","M","landscape position","IECZM00FZ","8/30/2022","SW","B",0,10,131.7511828,6.414662085,0.832808187,0.302913403,"-0.023635002","0.004945421"
"Derek Pierson","CZN Geomicrobiology","derek.pierson@usda.gov","12/30/2022","Kathleen Lohse","klohse@isu.edu","CZN_GeoMicro","microbial_biomass_fd","analyte","1","YES","YES","NO","NO","YES","NO","IGSN","V3","CZN",2022-12-30 20:29:13,"RC","location","SWB","site","M","landscape position","IECZM00G0","8/30/2022","SW","B",10,20,53.93628253,13.96319018,0.619168309,0.360732972,"0.739351574","0.710210121"
