"","short.id","IGSN","Location","Site","Position","id","year","month","top_depth_cm","bottom_depth_cm","ppm_C","eoc_dry_mass","c_per_g_soil","eoc_method","ppm_C_sd","eoc_dry_mass_sd","c_per_g_soil_sd"
"1","CA-001","IECZM0029","CA","SD","R","CA-SD-R",2021,10,40,50,13.36,4.85,0.055092784,"hot water",NA,NA,NA
"2","CA-002","IECZM0028","CA","SD","R","CA-SD-R",2021,10,30,40,14.47,4.87,0.059425051,"hot water",NA,NA,NA
"3","CA-003","IECZM002F","CA","SD","T","CA-SD-T",2021,10,50,55,6.24,4.93,0.025314402,"hot water",NA,NA,NA
"4","CA-004","IECZM002L","CA","SD","T","CA-SD-T",2021,10,95,100,7.81,4.88,0.032008197,"hot water",NA,NA,NA
"5","CA-005","IECZM002U","CA","MC","M","CA-MC-M",2021,10,60,65,39.475,4.15,0.190240964,"hot water",3.37289934625983,0,0.0162549367447909
"6","CA-006","IECZM002O","CA","MC","M","CA-MC-M",2021,10,10,20,18.7,4.31,0.086774942,"hot water",2.71529003975634,0,0.0125999541187394
"7","CA-007","IECZM0038","CA","MC","T","CA-MC-T",2021,10,10,20,20.76,4.23,0.098156028,"hot water",NA,NA,NA
"8","CA-008","IECZM003D","CA","MC","T","CA-MC-T",2021,10,43,50,31.21,4.37,0.142837529,"hot water",NA,NA,NA
"9","CA-009","IECZM002P","CA","MC","M","CA-MC-M",2021,10,20,30,18.805,4.25,0.088494118,"hot water",1.40714249456123,0,0.00662184711641835
"10","CA-010","IECZM002Q","CA","MC","M","CA-MC-M",2021,10,30,40,26.64,4.37,0.121922197,"hot water",1.72534054609517,0,0.00789629536663566
"11","CA-011","IECZM002M","CA","MC","M","CA-MC-M",2021,10,0,5,25.22,4.18,0.1206698565,"hot water",0.5939696961967,0,0.00284196044143131
"12","CA-012","IECZM002T","CA","MC","M","CA-MC-M",2021,10,55,60,35.57,4.39,0.162050114,"hot water",NA,NA,NA
"13","CA-013","IECZM0027","CA","SD","R","CA-SD-R",2021,10,20,30,10.68,4.89,0.043680982,"hot water",NA,NA,NA
"14","CA-014","IECZM002K","CA","SD","T","CA-SD-T",2021,10,90,95,6.52,4.84,0.026942149,"hot water",NA,NA,NA
"15","CA-015","IECZM002R","CA","MC","M","CA-MC-M",2021,10,40,50,31.89,4.33,0.1472979215,"hot water",0.579827560572967,0,0.00267818743984069
"16","CA-016","IECZM002U","CA","MC","M","CA-MC-M",2021,10,60,70,31.66,4.2,0.150761905,"hot water",0.905096679918779,0,0.00430998412274593
"17","CA-017","IECZM002G","CA","SD","T","CA-SD-T",2021,10,55,60,10.86,4.95,0.043878788,"hot water",NA,NA,NA
"18","CA-018","IECZM003H","CA","MC","T","CA-MC-T",2021,10,80,85,46.29,3.99,0.232030075,"hot water",NA,NA,NA
"19","CA-020","IECZM0036","CA","MC","T","CA-MC-T",2021,10,0,6,14.84,3.76,0.07893617,"hot water",NA,NA,NA
"20","CA-021","IECZM002N","CA","MC","M","CA-MC-M",2021,10,5,10,20.71,4.23,0.0979196215,"hot water",1.76776695296637,0,0.00835823620596957
"21","CA-022","IECZM003J","CA","MC","T","CA-MC-T",2021,10,90,100,43.88,3.91,0.224450128,"hot water",NA,NA,NA
"22","CA-023","IECZM003B","CA","MC","T","CA-MC-T",2021,10,30,40,22.06,4.27,0.103325527,"hot water",NA,NA,NA
"23","CA-024","IECZM003I","CA","MC","T","CA-MC-T",2021,10,85,90,39.16,3.9,0.200820513,"hot water",NA,NA,NA
"24","CA-025","IECZM003G","CA","MC","T","CA-MC-T",2021,10,70,80,39.16,4.09,0.191491443,"hot water",NA,NA,NA
"25","CA-026","IECZM003E","CA","MC","T","CA-MC-T",2021,10,50,60,31.15,4.3,0.144883721,"hot water",NA,NA,NA
"26","CA-027","IECZM0037","CA","MC","T","CA-MC-T",2021,10,6,10,12.22,4.14,0.059033816,"hot water",NA,NA,NA
"27","CA-028","IECZM003A","CA","MC","T","CA-MC-T",2021,10,23,30,16.51,4.32,0.076435185,"hot water",NA,NA,NA
"28","CA-029","IECZM003C","CA","MC","T","CA-MC-T",2021,10,40,43,28.62,4.35,0.131586207,"hot water",NA,NA,NA
"29","CA-030","IECZM002S","CA","MC","M","CA-MC-M",2021,10,50,55,32.305,4.28,0.150957944,"hot water",1.60513239329346,0,0.00750061821087356
"30","CA-031","IECZM0025","CA","SD","R","CA-SD-R",2021,10,0,10,11.73,4.94,0.047489879,"hot water",NA,NA,NA
"31","CA-032","IECZM002A","CA","SD","T","CA-SD-T",2021,10,0,10,23.74,4.88,0.097295082,"hot water",NA,NA,NA
"32","CA-033","IECZM002J","CA","SD","T","CA-SD-T",2021,10,80,90,6.61,4.87,0.027145791,"hot water",NA,NA,NA
"33","CA-034","IECZM002B","CA","SD","T","CA-SD-T",2021,10,10,20,10.07,4.81,0.041871102,"hot water",NA,NA,NA
"34","CA-035","IECZM0023","CA","SD","M","CA-SD-M",2021,10,14,20,9.78,4.75,0.041178947,"hot water",NA,NA,NA
"35","CA-036","IECZM002I","CA","SD","T","CA-SD-T",2021,10,70,80,7.07,4.89,0.028916155,"hot water",NA,NA,NA
"36","CA-037","IECZM0021","CA","SD","M","CA-SD-M",2021,10,0,10,16.03,4.89,0.065562372,"hot water",NA,NA,NA
"37","CA-038","IECZM0022","CA","SD","M","CA-SD-M",2021,10,10,14,24.91,4.7,0.106,"hot water",NA,NA,NA
"38","CA-039","IECZM002H","CA","SD","T","CA-SD-T",2021,10,60,70,7.57,4.93,0.030709939,"hot water",NA,NA,NA
"39","CA-040","IECZM0026","CA","SD","R","CA-SD-R",2021,10,10,20,9.52,4.9,0.038857143,"hot water",NA,NA,NA
"40","CA-041","IECZM002C","CA","SD","T","CA-SD-T",2021,10,20,30,12.32,4.77,0.051656184,"hot water",NA,NA,NA
"41","CA-042","IECZM002D","CA","SD","T","CA-SD-T",2021,10,30,40,11.54,4.79,0.048183716,"hot water",NA,NA,NA
