treatment,f,rep,p,t,veg_treat,aml_trt,sample_type,s,horizon,depth_upper,depth_lower,d,Soil Carbon,Hydrogen,Nitrogen,Bulk density,CN
C0OM0,1,1,2,2,Yes,1,soil,1,mineral,0,10,1,3.53,0.951,0.143,0.54,24.68531469
C0OM0,1,1,2,2,Yes,1,soil,2,mineral,20,30,3,2.186,0.897,0.111,0.6,19.69369369
C0OM0,1,1,2,2,Yes,1,soil,3,mineral,10,20,2,2.277,1.078,0.14,0.83,16.26428571
C0OM0,1,1,2,2,Yes,1,soil,4,mineral,10,20,2,3.443,1.144,0.11,0.78,31.3
C0OM0,1,1,2,2,Yes,1,soil,5,mineral,0,10,1,1.973,1.004,0.125,0.86,15.784
C0OM1,1,1,3,1,No,1,soil,1,mineral,0,10,1,2.355,0.838,0.123,0.84,19.14634146
C0OM1,1,1,3,1,No,1,soil,1,mineral,10,20,2,1.91,0.874,0.088,0.78,21.70454545
C0OM1,1,1,3,1,No,1,soil,1,mineral,20,30,3,2.369,0.777,0.126,0.94,18.8015873
C0OM1,1,1,3,1,No,1,soil,2,mineral,10,20,2,1.609,0.912,0.096,0.96,16.76041667
C0OM1,1,1,3,1,No,1,soil,3,mineral,0,10,1,0.908,0.581,0.052,0.79,17.46153846
C0OM1,1,1,3,1,No,1,soil,3,mineral,10,20,2,1.078,0.658,0.073,0.85,14.76712329
C0OM1,1,1,3,1,No,1,soil,4,mineral,10,20,2,2.466,1.197,0.121,0.79,20.38016529
C0OM1,1,1,3,2,Yes,1,soil,1,mineral,0,10,1,4.344,1.171,0.202,0.82,21.5049505
C0OM1,1,1,3,2,Yes,1,soil,1,mineral,20,30,3,3.066,1.003,0.216,1.04,14.19444444
C0OM1,1,1,3,2,Yes,1,soil,2,mineral,0,10,1,2.678,1.013,0.124,0.83,21.59677419
C0OM1,1,1,3,2,Yes,1,soil,3,mineral,0,10,1,0.979,0.678,0.065,0.83,15.06153846
C0OM1,1,1,3,2,Yes,1,soil,3,mineral,10,20,2,2.448,0.593,0.116,0.85,21.10344828
C0OM1,1,1,3,2,Yes,1,soil,3,mineral,20,30,3,0.712,0.278,0.029,0.91,24.55172414
C0OM1,1,1,3,2,Yes,1,soil,4,mineral,20,30,3,0.299,0.417,0.015,1.38,19.93333333
C0OM1,1,1,3,2,Yes,1,soil,4,mineral,20,30,3,4.738,1.203,0.109,1.07,43.46788991
C0OM2,1,1,11,1,No,1,soil,1,mineral,0,10,1,5.622,1.059,0.255,0.81,22.04705882
C0OM2,1,1,11,1,No,1,soil,1,mineral,10,20,2,4.025,0.918,0.228,0.83,17.65350877
C0OM2,1,1,11,1,No,1,soil,1,mineral,20,30,3,1.789,0.806,0.1,0.94,17.89
C0OM2,1,1,11,1,No,1,soil,2,mineral,0,10,1,2.118,0.631,0.128,0.61,16.546875
C0OM2,1,1,11,1,No,1,soil,2,mineral,10,20,2,2.848,0.894,0.157,0.89,18.14012739
C0OM2,1,1,11,1,No,1,soil,2,mineral,20,30,3,2.075,0.72,0.124,0.82,16.73387097
C0OM2,1,1,11,1,No,1,soil,3,mineral,0,10,1,3.604,0.862,0.174,0.68,20.71264368
C0OM2,1,1,11,1,No,1,soil,3,mineral,20,30,3,1.607,0.681,0.09,1.06,17.85555556
C0OM2,1,1,11,2,Yes,1,soil,1,mineral,10,20,2,2.665,0.83,0.13,1.19,20.5
C0OM2,1,1,11,2,Yes,1,soil,1,mineral,20,30,3,4.741,1.019,0.213,0.86,22.25821596
C0OM2,1,1,11,2,Yes,1,soil,2,mineral,0,10,1,2.165,0.587,0.135,0.9,16.03703704
C0OM2,1,1,11,2,Yes,1,soil,2,mineral,10,20,2,2.274,0.827,0.126,0.89,18.04761905
C0OM2,1,1,11,2,Yes,1,soil,2,mineral,20,30,3,1.5,0.698,0.082,0.93,18.29268293
C0OM2,1,1,11,2,Yes,1,soil,3,mineral,0,10,1,2.927,0.871,0.156,0.95,18.76282051
C0OM2,1,1,11,2,Yes,1,soil,3,mineral,10,20,2,0.953,0.449,0.044,1.19,21.65909091
C0OM2,1,1,11,2,Yes,1,soil,3,mineral,20,30,3,1.284,0.589,0.065,0.99,19.75384615
C0OM2,1,1,12,1,No,1,soil,1,mineral,0,10,1,3.529,0.833,0.106,0.68,33.29245283
C0OM2,1,1,12,1,No,1,soil,1,mineral,10,20,2,3.176,0.983,0.169,0.91,18.79289941
C0OM2,1,1,12,1,No,1,soil,1,mineral,20,30,3,3.243,0.837,0.167,0.77,19.41916168
C0OM2,1,1,12,1,No,1,soil,2,mineral,0,10,1,3.075,0.959,0.101,0.68,30.44554455
C0OM2,1,1,12,1,No,1,soil,2,mineral,10,20,2,1.667,0.845,0.098,0.86,17.01020408
C0OM2,1,1,12,1,No,1,soil,2,mineral,20,30,3,1.886,0.816,0.091,1.16,20.72527473
C0OM2,1,1,12,1,No,1,soil,3,mineral,0,10,1,1.279,0.732,0.065,0.91,19.67692308
C0OM2,1,1,12,1,No,1,soil,3,mineral,10,20,2,1.254,0.698,0.068,0.99,18.44117647
C0OM2,1,1,12,1,No,1,soil,3,mineral,20,30,3,1.137,0.652,0.066,1.08,17.22727273
C0OM2,1,1,12,2,Yes,1,soil,1,mineral,0,10,1,1.929,0.887,0.104,0.81,18.54807692
C0OM2,1,1,12,2,Yes,1,soil,1,mineral,10,20,2,5.416,0.984,0.14,0.82,38.68571429
