unit_levels,Var_long,var,givenUnit,unitConversionFactor
m,Elevation,elevation,NA,NA
cm,Mean Annual Precipitation,map,mm,10.0000
mm,Mean Annual Precipitation,map,mm,1.0000
dm,Mean Annual Precipitation,map,mm,100.0000
m,Mean Annual Precipitation,map,mm,1000.0000
degC,Mean Annual Temperature,mat,NA,NA
degrees,Site Aspect (degrees),aspect_deg,NA,NA
cm,Depth to Water Table,depth_water,m,0.0100
mm,Depth to Water Table,depth_water,m,0.0010
dm,Depth to Water Table,depth_water,m,0.1000
m,Depth to Water Table,depth_water,m,1.0000
%,Fine Litterfall Carbon,lit_c,%,1.0000
g kg-1,Fine Litterfall Carbon,lit_c,%,0.1000
mg kg-1,Fine Litterfall Carbon,lit_c,%,0.0001
mg g-1,Fine Litterfall Carbon,lit_c,%,0.1000
%,Fine Litterfall Nitrogen,lit_n,%,1.0000
g kg-1,Fine Litterfall Nitrogen,lit_n,%,0.1000
mg kg-1,Fine Litterfall Nitrogen,lit_n,%,0.0001
mg g-1,Fine Litterfall Nitrogen,lit_n,%,0.1000
%,Fine Litterfall phosphorus,lit_p,mg g-1,0.1000
g kg-1,Fine Litterfall phosphorus,lit_p,mg g-1,1.0000
mg kg-1,Fine Litterfall phosphorus,lit_p,mg g-1,1000.0000
mg g-1,Fine Litterfall phosphorus,lit_p,mg g-1,1.0000
g/m2/y,net primary productivity,npp,g/m2/y,1.0000
kg/ha/y,net primary productivity,npp,g/m2/y,0.1000
gDM/m2/y,net primary productivity,npp,g/m2/y,0.5000
kgDM/ha/y,net primary productivity,npp,g/m2/y,0.0500
t/ha/y,net primary productivity,npp,g/m2/y,100.0000
ug g-1 d-1,net primary productivity,npp,g/m2/y,NA
g/m2/y,aboveground net primary productivity,anpp,g/m2/y,1.0000
kg/ha/y,aboveground net primary productivity,anpp,g/m2/y,0.1000
gDM/m2/y,aboveground net primary productivity,anpp,g/m2/y,0.5000
kgDM/ha/y,aboveground net primary productivity,anpp,g/m2/y,0.0500
t/ha/y,aboveground net primary productivity,anpp,g/m2/y,100.0000
ug g-1 d-1,aboveground net primary productivity,anpp,g/m2/y,NA
g/m2/y,belowground net primary productivity,bnpp,g/m2/y,1.0000
kg/ha/y,belowground net primary productivity,bnpp,g/m2/y,0.1000
gDM/m2/y,belowground net primary productivity,bnpp,g/m2/y,0.5000
kgDM/ha/y,belowground net primary productivity,bnpp,g/m2/y,0.0500
t/ha/y,belowground net primary productivity,bnpp,g/m2/y,100.0000
ug g-1 d-1,belowground net primary productivity,bnpp,g/m2/y,NA
g m-2,aboveground biomass,agb,g m-2,1.0000
kg m-2,aboveground biomass,agb,g m-2,1000.0000
kg ha-1,aboveground biomass,agb,g m-2,0.1000
gDM m-2,aboveground biomass,agb,g m-2,0.5000
kgDM ha-1,aboveground biomass,agb,g m-2,0.0500
t ha-1,aboveground biomass,agb,g m-2,100.0000
mg cm-2,aboveground biomass,agb,g m-2,10.0000
tDM ha-1,aboveground biomass,agb,g m-2,50.0000
g m-2,root biomass,bgb,gDM m-2,2.0000
kg m-2,root biomass,bgb,gDM m-2,2000.0000
kg ha-1,root biomass,bgb,gDM m-2,0.2000
gDM m-2,root biomass,bgb,gDM m-2,1.0000
kgDM ha-1,root biomass,bgb,gDM m-2,0.1000
t ha-1,root biomass,bgb,gDM m-2,200.0000
mg cm-2,root biomass,bgb,gDM m-2,20.0000
g cm-2,root biomass,bgb,gDM m-2,20000.0000
gDM cm-2,root biomass,bgb,gDM m-2,10000.0000
tDM ha-1,root biomass,bgb,gDM m-2,100.0000
cm,root biomass lower diameter cutoff,bgb_lowerdiam,mm,10.0000
mm,root biomass lower diameter cutoff,bgb_lowerdiam,mm,1.0000
dm,root biomass lower diameter cutoff,bgb_lowerdiam,mm,100.0000
m,root biomass lower diameter cutoff,bgb_lowerdiam,mm,1000.0000
cm,root biomass upper diameter cutoff,bgb_upperdiam,mm,10.0000
mm,root biomass upper diameter cutoff,bgb_upperdiam,mm,1.0000
dm,root biomass upper diameter cutoff,bgb_upperdiam,mm,100.0000
m,root biomass upper diameter cutoff,bgb_upperdiam,mm,1000.0000
live/dead/both,root biomass type,bgb_type,NA,NA
%,root biomass C,bgb_c,%,NA
g kg-1,root biomass C,bgb_c,%,0.1000
mg kg-1,root biomass C,bgb_c,%,0.0001
mg g-1,root biomass C,bgb_c,%,0.1000
%,root biomass N,bgb_n,%,NA
g kg-1,root biomass N,bgb_n,%,0.1000
mg kg-1,root biomass N,bgb_n,%,0.0001
mg g-1,root biomass N,bgb_n,%,0.1000
%,root biomass lignin,bgb_lignin,mg g-1,NA
g kg-1,root biomass lignin,bgb_lignin,mg g-1,1.0000
mg kg-1,root biomass lignin,bgb_lignin,mg g-1,1000.0000
